English,German
you,Sie
i,ich
the,das
to,zu
a,ein
s,s
it,es
and,und
that,Das
t,t
of,von
is,ist
in,im
what,Was
we,wir
me,mich
this,diese
he,er
for,zum
my,meine
on,auf
have,haben
your,Ihre
do,tun
was,war
m,m
no,Nein
not,nicht
be,Sein
are,sind
don,Don
re,Re
know,kennt
can,können
with,mit
but,aber
all,alle
so,damit
just,gerade
there,Dort
here,Hier
they,Sie
like,mögen
ll,ll
get,bekommen
she,sie
go,gehen
if,wenn
right,Recht
out,aus
about,Über
up,oben
at,beim
him,ihm
now,jetzt
oh,Oh
one,einer
come,Kommen Sie
well,Gut
her,ihr
how,Wie
yeah,Ja
ve,ve
will,werden
got,habe
want,wollen
think,Überlegen
as,wie
see,sehen
did,tat
good,gut
who,Wer
why,Warum
from,von
let,Lassen
his,seine
yes,Ja
when,wann
going,gehen
time,Zeit
an,ein
okay,in Ordnung
back,zurück
look,aussehen
us,uns
would,würde
them,Sie
where,wo
were,wurden
take,nehmen
then,dann
had,hätten
or,oder
been,gewesen
our,unsere
gonna,Gonna
tell,sagen
really,Ja wirklich
man,Mann
some,etwas
say,sagen
hey,Hallo
could,könnten
d,d
didn,didn
by,durch
need,brauchen
something,etwas
has,hat
too,auch
more,Mehr
way,Weg
down,Nieder
make,machen
very,sehr
never,noch nie
only,nur
people,Menschen
over,Über
because,weil
little,wenig
please,Bitte
love,Liebe
should,sollte
mean,bedeuten
said,sagte
sorry,Es tut uns leid
give,geben
off,aus
am,Uhr
thank,danken
any,irgendein
two,zwei
even,sogar
much,viel
doing,tun
sure,sicher
thing,Sache
these,diese
help,Hilfe
first,zuerst
into,in
anything,etwas
still,immer noch
find,finden
life,Leben
nothing,nichts
sir,Herr
day,Tag
god,Gott
work,Arbeit
their,ihr
uh,äh
again,nochmal
maybe,könnte sein
must,Muss
before,Vor
other,andere
wait,warten
stop,halt
call,Anruf
after,nach
won,gewonnen
talk,sich unterhalten
away,Weg
than,als
thought,habe gedacht
home,Zuhause
night,Nacht-
put,stellen
great,großartig
those,jene
last,zuletzt
better,besser
everything,alles
told,erzählte
mr.,Herr.
new,Neu
things,Dinge
always,immer
keep,behalten
long,lange
years,Jahre
leave,verlassen
does,tut
money,Geld
around,um
doesn,doesn
name,Name
place,Ort
ever,je
feel,Gefühl
guys,Jungs
father,Vater
guy,Kerl
made,gemacht
old,alt
isn,isn
which,welche
big,groß
lot,Menge
done,getan
hello,Hallo
nice,nett
believe,glauben
girl,Mädchen
someone,jemand
fine,fein
thanks,Vielen Dank
wanted,wollte
kind,nett
coming,Kommen
house,Haus
every,jeder
ok,in Ordnung
through,durch
being,Sein
course,Kurs
stay,bleibe
left,links
dad,Papa
enough,genug
happened,passierte
came,kam
may,kann
mother,Mutter
wrong,falsch
world,Welt
bad,Schlecht
might,könnte
three,drei
today,heute
listen,Hör mal zu
another,Ein weiterer
understand,verstehen
hear,hören
remember,merken
ask,Fragen
own,besitzen
same,gleich
show,Show
else,sonst
kill,töten
talking,sprechen
found,gefunden
next,Nächster
getting,bekommen
care,Pflege
car,Auto
looking,Suche
son,Sohn
try,Versuchen
woman,Frau
went,ging
hi,Hallo
dead,tot
many,viele
mind,Verstand
wasn,wasn
friend,Freund
best,Beste
mom,Mama
hell,Hölle
morning,Morgen
trying,versuchen
boy,Junge
together,zusammen
yourself,du selber
job,Job
saw,sah
family,Familie
real,echt
without,ohne
baby,Baby
room,Zimmer
wouldn,wouldn
already,bereits
move,Bewegung
most,die meisten
seen,gesehen
live,Leben
miss,Fräulein
actually,tatsächlich
huh,huh
shit,Scheisse
both,beide
heard,gehört
once,Einmal
ready,bereit
head,Kopf
called,namens
used,gebraucht
idea,Idee
knew,wusste
hold,halt
happy,glücklich
door,Tür
such,eine solche
fuck,Scheiße
brother,Bruder
also,ebenfalls
pretty,ziemlich
bit,bisschen
took,dauerte
haven,Oase
yet,noch
men,Männer
whole,ganze
start,Start
use,verwenden
while,während
since,schon seit
wife,Ehefrau
days,Tage
guess,vermuten
tomorrow,Morgen
matter,Angelegenheit
meet,Treffen
bring,bringen
tonight,heute Abend
everyone,jeder
run,Lauf
wanna,wollen
hard,schwer
ah,Ah
alone,allein
myself,mich selber
school,Schule
gone,Weg
um,Äh
end,Ende
saying,Sprichwort
phone,Telefon
play,abspielen
looks,sieht aus
couldn,couldn
fucking,Ficken
problem,Problem
few,wenige
friends,Freunde
gotta,muss
ago,vor
open,öffnen
anyone,jemand
killed,getötet
hope,Hoffnung
face,Gesicht
until,bis um
lost,hat verloren
police,Polizei
excuse,Entschuldigung
turn,Wende
business,Geschäft
case,Fall
wants,will
says,sagt
TRUE,WAHR
die,sterben
heart,Herz
soon,demnächst
each,jeder
worry,Sorge
later,später
year,Jahr
watch,Uhr
music,Musik-
hand,Hand
having,mit
probably,wahrscheinlich
beautiful,schön
doctor,Arzt
sit,sitzen
eat,Essen
thinking,Denken
young,jung
second,zweite
working,Arbeiten
water,Wasser
person,Person
part,Teil
kids,Kinder
late,spät
stuff,Zeug
exactly,genau
under,unter
death,Tod
minute,Minute
pay,Zahlen
crazy,verrückt
forget,vergessen
everybody,jeder
kid,Kind
change,Veränderung
gave,gegeben
happen,geschehen
damn,Verdammt
five,fünf
drink,trinken
far,weit
knows,weiß
its,es ist
whatever,wie auch immer
eyes,Augen
shut,geschlossen
aren,aren
hit,schlagen
taking,Mitnahmen
easy,einfach
times,mal
check,prüfen
hands,Hände
minutes,Protokoll
deal,Deal
different,anders
means,meint
point,Punkt
inside,Innerhalb
makes,macht
asked,fragte
somebody,jemanden
mine,Bergwerk
making,Herstellung
body,Körper
afraid,ängstlich
sleep,Schlaf
chance,Chance
dear,sehr geehrter
quite,ziemlich
four,vier
anyway,wie auch immer
close,schließen
ain,ain
party,Party
fun,Spaß
against,gegen
word,Wort
comes,kommt
important,wichtig
set,einstellen
shall,soll
story,Geschichte
number,Nummer
daughter,Tochter
least,am wenigsten
waiting,warten
hurt,verletzt
wish,Wunsch
moment,Moment
fight,kämpfen
week,Woche
husband,Mann
girls,Mädchen
rest,sich ausruhen
married,verheiratet
fire,Feuer
game,Spiel
nobody,niemand
mr,Herr
children,Kinder
side,Seite
stand,Stand
read,lesen
though,obwohl
cut,Schnitt
started,gestartet
sister,Schwester
supposed,soll
between,zwischen
child,Kind
goes,geht
hours,Std
speak,sprechen
women,Frauen
behind,hinter
almost,fast
truth,Wahrheit
blood,Blut
able,imstande
lady,Dame
anymore,nicht mehr
playing,Spiel
gets,wird
shot,Schuss
reason,Grund
trouble,Ärger
break,Unterbrechung
war,Krieg
city,Stadt
walk,gehen
town,"Stadt, Dorf"
trust,Vertrauen
dr.,DR.
met,getroffen
office,Büro
question,Frage
brought,gebracht
yours,deine
welcome,herzlich willkommen
high,hoch
wow,Beeindruckend
couple,Paar
half,halb
died,ist gestorben
cool,cool
free,kostenlos
either,entweder
seems,scheint
power,Leistung
whoa,whoa
bye,Tschüss
buy,Kaufen
telling,telling
honey,Honig
tried,versucht
front,Vorderseite
team,Mannschaft
answer,Antworten
gun,Gewehr
boys,Jungen
line,Linie
send,senden
news,Nachrichten
stupid,blöd
bed,Bett
hurry,Eile
full,voll
months,Monate
save,sparen
sometimes,manchmal
become,werden
along,entlang
hate,Hass
food,Lebensmittel
outside,draußen
light,Licht
l,l
needs,Bedürfnisse
dog,Hund
country,Land
clear,klar
order,Auftrag
em,em
fact,Tatsache
lord,Herr
captain,Kapitän
six,sechs
hot,heiß
funny,lustig
black,schwarz
mrs.,Frau.
alive,am Leben
pick,pflücken
feeling,Gefühl
living,Leben
cause,Ursache
ahead,voraus
lose,verlieren
king,König
plan,planen
dinner,Abendessen
sighs,Seufzer
sort,Sortieren
leaving,Verlassen
shouldn,shouldn
running,Laufen
boss,Boss
alright,in Ordung
promise,versprechen
taken,genommen
safe,sicher
ma,ma
book,Buch
sent,geschickt
white,Weiß
hour,Stunde
anybody,irgendjemand
small,klein
perfect,perfekt
cause,Ursache
lives,lebt
special,Besondere
parents,Eltern
s,s
john,John
himself,selbst
perhaps,vielleicht
sounds,Geräusche
serious,ernst
sick,krank
company,Unternehmen
ha,Ha
scared,erschrocken
uncle,Onkel
poor,Arm
red,rot
past,Vergangenheit
earth,Erde
possible,möglich
shoot,schießen
touch,berühren
sound,Klang
top,oben
ass,Arsch
laughs,lacht
cannot,kann nicht
asking,fragen
win,Sieg
glad,froh
control,Steuerung
hmm,hmm
human,Mensch
drive,Fahrt
hair,Haar
jack,Jack
bitch,Hündin
luck,Glück
murder,Mord
happens,das passiert
air,Luft
ten,zehn
daddy,Vati
finally,schließlich
chuckles,kichert
fast,schnell
cold,kalt
seem,scheinen
laughing,Lachen
words,Wörter
hospital,Krankenhaus
street,Straße
hang,aufhängen
dance,tanzen
meeting,Treffen
till,bis
others,Andere
catch,Fang
follow,Folgen
sense,Sinn
sex,Sex
lie,Lüge
evening,Abend
master,Meister
known,bekannt
dream,Traum
write,schreiben
million,Million
voice,Stimme
sweet,Süss
rather,lieber
felt,fühlte
sign,Zeichen
lucky,Glücklich
somewhere,irgendwo
bet,Wette
o,Ö
jesus,Jesus
longer,länger
calling,Berufung
worked,hat funktioniert
quiet,ruhig
looked,sah
less,weniger
pull,ziehen
beat,schlagen
careful,Vorsichtig
coffee,Kaffee
return,Rückkehr
secret,Geheimnis
weeks,Wochen
weren,weren
date,Datum
seeing,Sehen
fall,fallen
given,gegeben
ooh,Oh
fault,Fehler
straight,Gerade
takes,nimmt
song,Lied
future,Zukunft
gentlemen,Herren
loved,liebte
changed,geändert
road,Straße
calm,Ruhe
wonderful,wunderbar
mad,wütend
turned,gedreht
drop,fallen
ladies,Damen
learn,lernen
step,Schritt
absolutely,absolut
early,früh
explain,erklären
clean,reinigen
piece,Stück
yesterday,gestern
throw,werfen
picture,Bild
land,Land
feet,Füße
wonder,Wunder
questions,Fragen
speaking,Sprechen
worth,wert
darling,Liebling
dude,Kumpel
giving,Angabe
president,Präsident
eye,Auge
quick,schnell
moving,ziehen um
figure,Zahl
state,Zustand
strong,stark
sam,Sam
none,keiner
amazing,tolle
ones,Einsen
works,Werk
act,Handlung
needed,erforderlich
weird,seltsam
law,Recht
worried,besorgt
report,Bericht
goodbye,Auf Wiedersehen
missing,fehlt
choice,Wahl
happening,Ereignis
chief,Chef
wedding,Hochzeit
strange,seltsam
general,Allgemeines
pain,Schmerzen
am,Uhr
kidding,Scherz
decided,beschlossen
ya,ya
pass,bestehen
tired,müde
class,Klasse
officer,Offizier
kept,gehalten
wake,aufwachen
worse,schlechter
busy,beschäftigt
eh,eh
mistake,Fehler
kiss,Kuss
court,Gericht
building,Gebäude
finish,Fertig
during,während
age,Alter
ship,Schiff
caught,gefangen
marry,heiraten
meant,gemeint
sell,verkaufen
dark,dunkel
watching,Aufpassen
system,System
suppose,annehmen
evidence,Beweis
movie,Film
ride,Reiten
t,t
completely,vollständig
mouth,Mund
totally,total
birthday,Geburtstag
tv,Fernseher
forgive,verzeihen
born,geboren
imagine,vorstellen
information,Information
instead,stattdessen
definitely,bestimmt
security,Sicherheit
certainly,bestimmt
film,Film
month,Monat
lying,liegend
unless,es sei denn
train,Zug
seven,Sieben
wear,tragen
clothes,Kleider
michael,michael
hotel,Hotel
christmas,Weihnachten
attack,Attacke
hasn,hasn
round,runden
expect,erwarten von
sing,singen
terrible,furchtbar
george,George
bag,Tasche
history,Geschichte
blue,Blau
near,in der Nähe von
broke,Pleite
station,Bahnhof
seriously,Ernsthaft
forever,für immer
david,David
frank,frank
except,außer
thinks,denkt
message,Botschaft
entire,ganz
joe,joe
table,Tabelle
talked,gesprochen
across,über
rock,Felsen
lovely,schön
handle,Griff
middle,Mitte
buddy,Kumpel
paid,bezahlt
protect,schützen
using,Verwendung
floor,Fußboden
ran,RAN
swear,schwören
spend,verbringen
situation,Situation
ring,Ring
anywhere,irgendwo
dangerous,gefährlich
bill,Rechnung
york,York
army,Heer
lead,führen
bought,gekauft
finished,fertig
fair,Messe
sun,Sonne
letter,Brief
fool,täuschen
attention,Beachtung
club,Verein
simple,einfach
interesting,interessant
space,Raum
test,Prüfung
box,Box
group,Gruppe
single,Single
sitting,Sitzung
marriage,Ehe
join,beitreten
fear,Angst
d,d
peace,Frieden
forgot,vergessen
force,Macht
short,kurz
normal,normal
charlie,Charlie
present,Geschenk
enjoy,genießen
mike,Mike
crime,Kriminalität
horse,Pferd
ground,Boden
american,amerikanisch
count,Anzahl
area,Bereich
charge,aufladen
honor,Ehre
lunch,Mittagessen
miles,Meilen
radio,Radio
idiot,Dummkopf
ball,Ball
surprise,Überraschung
paper,Papier-
key,Schlüssel
boat,Boot
quickly,schnell
gold,Gold
bar,Bar
fish,Fisch
mark,Kennzeichen
tom,tom
wearing,tragen
crying,Weinen
accident,Unfall
government,Regierung
eight,acht
fell,fiel
cover,Startseite
certain,sicher
interested,interessiert
deep,tief
star,Star
sea,Meer
agree,zustimmen
problems,Probleme
detective,Detektiv
prison,Gefängnis
major,Haupt
stick,Stock
offer,Angebot
difficult,schwierig
smart,Clever
personal,persönlich
record,Aufzeichnung
stopped,gestoppt
hide,ausblenden
whether,ob
bank,Bank
trip,Ausflug
relax,entspannen
america,Amerika
public,Öffentlichkeit
list,Liste
afternoon,Nachmittag
brain,Gehirn
fix,Fix
bastard,Bastard
proud,stolz
tea,Tee
service,Bedienung
screaming,schreiend
forward,nach vorne
angry,wütend
park,Park
soul,Seele
fighting,Kampf
peter,Peter
rich,Reich
agent,Agent
blow,Schlag
paul,paul
dress,Kleid
mary,Maria
missed,verpasst
scene,Szene
killing,Tötung
standing,Stehen
saved,Gerettet
mm,Millimeter
respect,Respekt
killer,Mörder
ice,Eis
mess,Chaos
tough,zäh
feels,fühlt sich
church,Kirche
sad,traurig
cell,Zelle
drunk,betrunken
share,Aktie
camera,Kamera
mm-hmm,mm-HMM
within,innerhalb
card,Karte
fly,Fliege
ben,ben
girlfriend,Freundin
laugh,Lachen
smell,Geruch
broken,gebrochen
mum,Mama
honest,ehrlich
often,häufig
starting,beginnend
calls,Anrufe
y,y
spent,verbraucht
third,dritte
english,Englisch
visit,Besuch
mama,Mutter
judge,Richter
window,Fenster
hungry,hungrig
dare,Wagen
relationship,Beziehung
moved,gerührt
prove,beweisen
private,Privat
wall,Wand
seat,Sitz
i-i,i-i
position,Position
lieutenant,Leutnant
realize,realisieren
lt,lt
especially,insbesondere
machine,Maschine
walking,Gehen
art,Kunst
pleasure,Vergnügen
bloody,blutig
college,Hochschule
french,Französisch
involved,beteiligt
cry,Schrei
became,wurden
lived,lebte
impossible,unmöglich
obviously,offensichtlich
neither,weder
accept,akzeptieren
boyfriend,Freund
besides,Außerdem
queen,Königin
teacher,Lehrer
cops,Cops
sake,Sake
loves,Liebe
carry,tragen
teach,lehren
apartment,Wohnung
upset,verärgert
green,Grün
la,la
liked,gefallen
cute,süß
evil,böse
professor,Professor
contact,Kontakt
joke,Scherz
cop,Polizist
huge,enorm
holy,heilig
store,Geschäft
jail,Gefängnis
likes,Likes
lawyer,Anwalt
doubt,Zweifel
continue,fortsetzen
appreciate,schätzen
cat,Katze
shop,Geschäft
driving,Fahren
congratulations,Herzliche Glückwünsche
wrote,schrieb
village,Dorf
quit,Verlassen
field,Feld
james,James
wine,Wein
decision,Entscheidung
south,Süd
sleeping,Schlafen
slow,schleppend
laughter,Lachen
island,Insel
glass,Glas
beginning,Anfang
cash,Kasse
dying,sterbend
hundred,hundert
whose,deren
difference,Unterschied
plane,Flugzeug
push,drücken
continues,geht weiter
mmm,mmm
singing,Singen
eating,Essen
north,Norden
mrs,Frau
tree,Baum
madam,gnädige Frau
gift,Geschenk
truck,Lastwagen
putting,Putten
bear,Bär
board,Tafel
grab,greifen
beer,Bier
stuck,stecken
magic,Magie
support,Unterstützung
rules,Regeln
grunts,grunzt
partner,Partner
reach,erreichen
wind,Wind
colonel,Oberst
max,max
immediately,sofort
seconds,Sekunden
thousand,tausend
gives,gibt
experience,Erfahrung
cheers,Prost
victim,Opfer
upon,auf
computer,Computer
christ,Christus
planet,Planet
promised,versprochen
bus,Bus
henry,Henry
dirty,dreckig
search,Suche
staying,bleiben
dreams,Träume
arrest,Festnahme
holding,Halte
suddenly,plötzlich
usually,meistens
lots,viele
shoes,Schuhe
er,er
jump,springen
rid,loswerden
yo,yo
knock,klopfen
owe,verdanken
harry,harry
grow,wachsen
worst,am schlimmsten
river,Fluss
aunt,Tante
patient,geduldig
kitchen,Küche
aah,aah
fat,Fett
passed,bestanden
m,m
final,Finale
summer,Sommer-
bob,Bob
listening,Hören
escape,Flucht
everywhere,überall
moon,Mond
arms,Waffen
turns,wendet sich
address,Adresse
ow,ow
match,Spiel
gasps,Keuchen
grand,großartig
yep,ja
shh,shh
nervous,nervös
de,de
choose,wählen
themselves,sich
decide,entscheiden
mate,Kamerad
drinking,Trinken
press,Drücken Sie
bother,Mühe
foot,Fuß
hadn,hadn
blame,Schuld
crap,Scheiße
drugs,Drogen
type,Art
rings,Ringe
mission,Mission
named,genannt
heaven,Himmel
ii,ii
picked,gepflückt
paris,Paris
race,Rennen
risk,Risiko
books,Bücher
further,des Weiteren
danny,danny
action,Aktion
allowed,dürfen
orders,Aufträge
learned,gelernt
price,Preis
arrived,ist eingetroffen
nick,Kerbe
otherwise,Andernfalls
pictures,Bilder
fit,passen
smoke,Rauch
favor,Gefallen
played,gespielt
notice,beachten
awesome,genial
smile,Lächeln
director,Direktor
guard,bewachen
begin,Start
spot,Stelle
surprised,überrascht
innocent,unschuldig
narrator,Erzähler
herself,Sie selber
london,London
feelings,Gefühle
enemy,Feind
battle,Schlacht
ourselves,uns selbst
alex,Alex
dollars,Dollar
allow,ermöglichen
nine,neun
gay,Fröhlich
department,Abteilung
guilty,schuldig
apart,ein Teil
earlier,vorhin
duty,Pflicht
jim,jim
suit,passen
bell,Glocke
west,Westen
legs,Beine
hero,Held
destroy,zerstören
stage,Bühne
bunch,Bündel
according,gemäß
chicken,Hähnchen
bigger,größer
grunting,Grunzen
low,niedrig
helping,Portion
admit,eingestehen
closed,geschlossen
names,Namen
witness,Zeuge
upstairs,nach oben
arm,Arm
steal,stehlen
jimmy,Jimmy
kick,trete
twice,zweimal
cross,Kreuz
ways,Wege
sergeant,Sergeant
indeed,tatsächlich
gas,Gas
keeping,Aufbewahrung
energy,Energie
pregnant,schwanger
waste,Abfall
helped,geholfen
fired,gefeuert
favorite,Lieblings
tony,tony
taste,Geschmack
locked,gesperrt
places,setzt
writing,Schreiben
adam,Adam
brothers,Brüder
starts,beginnt
prince,Prinz
form,bilden
sold,verkauft
silly,dumm
mention,erwähnen
build,bauen
throat,Kehle
hole,Loch
figured,gemustert
track,Spur
ringing,Klingeln
lock,sperren
leg,Bein
above,über
