you,Sie,28787591
i,ich,27086011
the,das,22761659
to,zu,17099834
a,ein,14484562
s,s,14291013
it,es,13631703
and,und,10572938
that,Das,10203742
t,t,9628970
of,von,8915110
is,ist,7400675
in,im,7337058
what,Was,6900164
we,wir,6755687
me,mich,6444985
this,diese,5739788
he,er,5516364
for,zum,5174060
my,meine,4938948
on,auf,4821861
have,haben,4764010
your,Ihre,4610945
do,tun,4419883
was,war,4401531
m,m,4386306
no,Nein,4374975
not,nicht,4262273
be,Sein,4210868
are,sind,4203821
don,Don,4158644
re,Re,4059719
know,kennt,3892394
can,können,3826118
with,mit,3806977
but,aber,3631462
all,alle,3544700
so,damit,3434152
just,gerade,3334392
there,Dort,3148528
here,Hier,3138591
they,Sie,3060204
like,mögen,2983027
ll,ll,2913428
get,bekommen,2883193
she,sie,2778359
go,gehen,2738504
if,wenn,2630800
right,Recht,2576821
out,aus,2510010
about,Über,2487348
up,oben,2459855
at,beim,2431398
him,ihm,2431059
now,jetzt,2298830
oh,Oh,2298308
one,einer,2263956
come,Kommen Sie,2203919
well,Gut,2159909
her,ihr,2154982
how,Wie,2140365
yeah,Ja,2000641
ve,ve,1991871
will,werden,1969807
got,habe,1968389
want,wollen,1950845
think,Überlegen,1839473
as,wie,1792220
see,sehen,1781493
did,tat,1742764
good,gut,1741730
who,Wer,1734491
why,Warum,1722797
from,von,1709582
let,Lassen,1705262
his,seine,1666361
yes,Ja,1634050
when,wann,1531731
going,gehen,1520767
time,Zeit,1453708
an,ein,1449181
okay,in Ordnung,1428884
back,zurück,1405024
look,aussehen,1348467
us,uns,1346903
would,würde,1340070
them,Sie,1327509
where,wo,1322226
were,wurden,1315964
take,nehmen,1312232
then,dann,1275502
had,hätten,1274537
or,oder,1267646
been,gewesen,1265150
our,unsere,1191941
gonna,Gonna,1188190
tell,sagen,1176290
really,Ja wirklich,1174710
man,Mann,1173588
some,etwas,1166914
say,sagen,1153915
hey,Hallo,1149292
could,könnten,1111837
d,d,1109205
didn,didn,1100643
by,durch,1090424
need,brauchen,1040131
something,etwas,1038638
has,hat,1035310
too,auch,1022558
more,Mehr,1010390
way,Weg,1000182
down,Nieder,978966
make,machen,963885
very,sehr,945653
never,noch nie,930831
only,nur,887363
people,Menschen,885915
over,Über,880841
because,weil,880112
little,wenig,869522
please,Bitte,842120
love,Liebe,830324
should,sollte,823711
mean,bedeuten,821275
said,sagte,818878
sorry,Es tut uns leid,818019
give,geben,811919
off,aus,799351
am,Uhr,785830
thank,danken,773577
any,irgendein,767968
two,zwei,764564
even,sogar,744544
much,viel,738599
doing,tun,732145
sure,sicher,709390
thing,Sache,697528
these,diese,683128
help,Hilfe,666286
first,zuerst,656387
into,in,655747
anything,etwas,640206
still,immer noch,639540
find,finden,626520
life,Leben,624596
nothing,nichts,622415
sir,Herr,619500
day,Tag,617674
god,Gott,611924
work,Arbeit,611677
their,ihr,601171
uh,äh,592651
again,nochmal,590019
maybe,könnte sein,581087
must,Muss,580931
before,Vor,578606
other,andere,577197
wait,warten,574752
stop,halt,574016
call,Anruf,572997
after,nach,572761
won,gewonnen,571621
talk,sich unterhalten,567036
away,Weg,564268
than,als,561014
thought,habe gedacht,558542
home,Zuhause,556894
night,Nacht-,556318
put,stellen,552246
great,großartig,545768
those,jene,528404
last,zuletzt,527395
better,besser,520328
everything,alles,519795
told,erzählte,517951
mr.,Herr.,515685
new,Neu,508486
things,Dinge,503642
always,immer,503417
keep,behalten,498392
long,lange,496267
years,Jahre,481860
leave,verlassen,478282
does,tut,478174
money,Geld,471643
around,um,471463
doesn,doesn,471037
name,Name,455543
place,Ort,444863
ever,je,444088
feel,Gefühl,444014
guys,Jungs,442241
father,Vater,437537
guy,Kerl,435832
made,gemacht,433900
old,alt,431911
isn,isn,429536
which,welche,422483
big,groß,417218
lot,Menge,411660
done,getan,408760
hello,Hallo,405534
nice,nett,405497
believe,glauben,403874
girl,Mädchen,402557
someone,jemand,401162
fine,fein,400530
thanks,Vielen Dank,395690
wanted,wollte,392510
kind,nett,392242
coming,Kommen,389949
house,Haus,388585
every,jeder,388520
ok,in Ordnung,388338
through,durch,388127
being,Sein,386528
course,Kurs,381816
stay,bleibe,378726
left,links,378587
dad,Papa,378540
enough,genug,376973
happened,passierte,375703
came,kam,374486
may,kann,373526
mother,Mutter,372846
wrong,falsch,370949
world,Welt,370620
bad,Schlecht,369996
might,könnte,367145
three,drei,366626
today,heute,366395
listen,Hör mal zu,365791
another,Ein weiterer,365421
understand,verstehen,365210
hear,hören,360665
remember,merken,358291
ask,Fragen,354323
own,besitzen,352542
same,gleich,348167
show,Show,347408
else,sonst,340756
kill,töten,339509
talking,sprechen,337629
found,gefunden,337382
next,Nächster,335573
getting,bekommen,331186
care,Pflege,330956
car,Auto,330261
looking,Suche,326550
son,Sohn,325997
try,Versuchen,325748
woman,Frau,324673
went,ging,321824
hi,Hallo,320316
dead,tot,317589
many,viele,314850
mind,Verstand,312927
wasn,wasn,312240
friend,Freund,308204
best,Beste,307071
mom,Mama,305139
hell,Hölle,304275
morning,Morgen,303550
trying,versuchen,303288
boy,Junge,302508
together,zusammen,302404
yourself,du selber,302013
job,Job,298911
saw,sah,297985
family,Familie,294543
real,echt,294536
without,ohne,290509
baby,Baby,290496
room,Zimmer,290206
wouldn,wouldn,288422
already,bereits,287837
move,Bewegung,283807
most,die meisten,283006
seen,gesehen,282420
live,Leben,281046
miss,Fräulein,280930
actually,tatsächlich,279595
huh,huh,274656
shit,Scheisse,273312
both,beide,270720
heard,gehört,269851
once,Einmal,269704
ready,bereit,267268
